FIPS,EP_POV150,EP_UNEMP,EP_NOHSDP,EP_NOVEH,EP_LIMENG,EP_MINRTY
25009251400,43.5,13.9,33.3,21.6,28.2,90.9
25009251500,33.9,9.9,24.0,24.1,18.7,87.0
25009251600,32.2,12.4,27.4,18.7,33.6,88.8
25009251700,27.4,7.7,16.1,11.0,21.6,81.7
25009251800,18.5,5.0,18.2,5.3,9.9,68.2
25009252101,14.8,4.7,8.1,7.2,7.1,41.1
25009252102,2.7,5.2,2.5,2.9,0.4,29.7
25009252201,14.5,1.9,14.5,2.2,5.6,29.9
25009252202,4.3,2.6,4.8,2.9,3.5,24.8
25009252300,25.6,9.9,18.4,14.7,13.6,59.4
25009252400,27.0,9.8,18.3,11.8,13.7,66.8
25009252501,17.0,8.2,15.8,3.7,6.3,51.0
25009252502,24.9,8.6,8.2,5.5,4.7,41.6
25009252601,10.0,7.2,8.1,2.0,4.0,37.4
25009252602,3.3,3.1,4.6,1.5,2.6,30.1
25009252603,5.0,2.9,9.3,4.1,3.3,28.5
25009253100,20.6,4.1,4.7,6.5,4.9,19.6
25009253201,6.6,4.1,4.5,8.6,2.7,10.0
25009253202,21.1,4.1,3.8,7.1,3.2,32.8
25009253203,6.4,1.5,2.1,4.2,0.7,16.2
25009253204,2.0,2.0,4.2,5.3,2.3,26.2
25009253205,1.1,2.1,0.0,0.0,0.6,8.4
25009254100,5.8,2.6,1.0,2.0,1.6,17.0
25009254200,12.3,9.9,4.0,9.4,1.8,23.6
25009254301,8.5,5.2,6.3,0.6,1.5,20.5
25009254302,3.2,1.0,1.5,0.6,1.3,32.8
25009254401,5.0,4.5,2.6,0.0,0.9,37.4
25009254402,7.7,3.5,3.0,0.9,2.3,46.0
25009254403,1.3,5.7,2.3,0.9,1.1,22.9
25009260100,58.6,22.3,23.3,29.2,10.6,60.9
25009260200,34.9,9.7,15.7,23.9,7.8,39.3
25009260301,13.0,3.8,4.7,2.8,2.3,20.1
25009260302,3.3,3.5,5.9,6.3,0.6,15.0
25009260401,12.8,6.1,3.9,3.1,0.5,20.7
25009260402,6.4,4.6,6.7,1.0,2.8,24.3
25009260500,7.0,4.5,8.1,3.0,5.3,29.3
25009260600,20.2,3.0,14.9,3.0,3.2,53.3
25009260700,24.9,10.3,12.6,7.7,1.8,33.8
25009260800,28.4,6.1,16.6,10.9,7.9,62.3
25009260900,24.1,0.8,8.5,13.4,3.9,38.7
25009261000,12.9,1.4,9.1,4.8,1.5,35.2
25009261101,3.3,6.1,2.6,2.7,0.1,6.7
25009261102,9.8,3.0,5.4,0.9,2.7,33.2
25009262100,10.7,2.5,5.5,4.9,0.0,7.7
25009263100,7.3,3.8,2.1,1.9,0.2,12.8
25009264100,7.6,3.4,5.1,1.9,0.6,5.7
25009265101,4.6,0.9,3.6,2.7,0.7,7.8
25009265102,3.5,1.2,1.7,9.2,0.1,11.3
25009266100,5.9,4.3,1.4,2.4,0.4,11.6
25009266200,20.1,3.2,5.0,10.1,0.7,10.3
25009266300,14.3,1.9,6.0,11.1,0.2,15.0
25009266400,12.8,8.4,4.8,3.3,0.3,10.7
25009267102,9.2,8.7,7.5,1.3,0.6,17.2
25009267103,10.7,3.4,5.7,8.3,0.0,3.3
25009267104,12.3,3.7,3.2,10.7,0.3,14.7
25009268100,6.8,3.4,1.8,2.4,0.3,14.1
25009268200,9.2,5.9,2.0,4.5,2.7,4.3
25009268300,14.1,3.8,5.9,7.6,1.2,8.9
25009268400,6.8,8.7,1.6,5.7,0.0,9.2
25009269100,9.6,2.2,2.3,0.5,0.2,8.4
25009270100,3.0,2.9,2.3,3.2,0.3,5.8
25009990100,,,,,,
25011040100,13.9,4.3,6.9,1.7,0.4,7.5
25011040200,14.2,4.2,4.9,1.9,0.4,7.7
25011040300,10.6,3.8,8.8,3.3,0.0,10.1
25011040400,16.8,6.5,5.4,3.8,0.4,9.3
25011040501,29.2,12.0,5.7,8.6,1.3,10.2
25011040502,31.1,5.0,12.7,12.6,0.6,8.3
25011040600,13.1,6.5,3.3,1.5,0.1,13.2
25011040701,25.8,5.4,6.2,14.1,2.5,12.8
25011040702,17.1,3.4,7.8,6.2,0.2,5.8
25011040800,22.6,8.1,4.4,4.6,1.1,17.6
25011040900,12.0,4.0,2.5,5.9,0.8,12.2
25011041000,25.7,4.8,8.6,6.9,1.1,16.0
25011041100,11.2,5.2,6.0,5.1,0.5,6.3
25011041200,13.5,4.6,6.0,3.1,2.6,8.2
25011041301,37.1,6.7,5.9,19.0,3.8,9.6
25011041302,32.8,3.0,16.1,17.2,0.0,17.1
25011041400,38.6,8.0,11.7,28.2,6.1,22.7
25011041501,12.2,6.5,3.0,3.8,0.0,6.5
25011041502,17.4,5.5,3.7,5.0,0.7,12.3
25013800101,28.6,4.2,17.6,13.8,9.1,66.5
25013800102,34.9,8.0,23.4,16.3,9.2,69.3
25013800201,28.3,5.7,14.6,13.6,2.9,71.3
25013800202,26.8,8.3,12.3,6.0,13.5,58.6
25013800300,29.2,17.7,20.9,11.6,7.7,70.6
25013800400,24.8,10.7,19.5,15.7,9.3,76.4
25013800500,23.5,4.5,29.6,11.7,18.4,74.3
25013800600,72.7,24.8,41.7,36.6,21.1,94.0
25013800700,66.2,17.4,47.9,46.4,19.8,98.1
25013800800,64.7,30.3,44.5,44.0,20.1,96.6
25013800900,65.2,13.0,37.2,48.9,22.0,94.4
25013801101,70.3,11.9,23.7,49.3,23.0,80.5
25013801102,41.5,0.0,29.8,37.1,24.5,81.1
25013801200,71.9,9.0,21.0,63.9,14.3,85.4
25013801300,46.4,8.8,21.7,31.5,13.8,90.6
25013801401,51.9,9.0,20.9,17.9,15.5,92.6
25013801402,30.7,8.5,20.2,13.0,7.6,79.5
25013801501,22.4,13.5,18.0,22.3,3.8,78.0
25013801502,50.6,4.0,25.2,15.1,7.5,87.0
25013801503,35.1,2.4,12.9,10.2,6.5,67.5
25013801601,15.1,6.7,7.1,8.3,1.7,55.4
25013801602,23.9,3.5,11.9,12.0,3.1,54.0
25013801603,13.3,5.0,7.0,5.6,2.9,55.1
25013801604,10.7,4.8,5.5,2.4,3.9,31.3
25013801605,29.9,8.9,11.7,9.0,4.8,64.9
25013801700,46.0,8.0,22.6,19.9,4.2,72.7
25013801800,51.1,13.1,39.4,27.3,12.7,87.9
25013801901,64.8,15.6,36.8,28.3,11.0,94.6
25013801902,54.8,15.7,27.0,38.1,26.5,88.3
25013802000,58.6,13.6,47.3,42.3,23.1,86.3
25013802101,32.7,7.4,19.4,11.0,8.1,47.0
25013802200,62.3,5.3,24.2,29.2,13.4,87.5
25013802300,39.1,14.4,24.9,12.1,12.2,83.5
25013802400,10.9,1.7,14.7,4.7,1.4,35.4
25013802500,16.5,5.3,5.7,3.2,3.2,47.7
25013802601,32.3,6.4,16.1,11.6,8.4,67.9
25013802602,13.4,4.5,9.1,9.2,2.4,35.0
25013810100,16.1,3.6,17.1,9.1,1.4,20.8
25013810200,20.6,4.4,5.4,4.8,0.0,8.0
25013810300,10.9,5.2,12.9,4.8,0.6,18.4
25013810403,32.0,4.6,16.1,10.4,12.3,26.6
25013810404,15.3,5.8,16.6,6.5,8.3,11.5
25013810412,14.7,2.7,8.9,2.4,3.9,12.7
25013810414,10.0,3.8,10.8,4.8,1.6,11.1
25013810601,26.0,3.2,18.5,9.7,2.8,25.0
